c0,c1,c2,c3,c4,c5,c6,c7
1.0,10.0,0.01,30.576709834540967,1.0,1.6724004876588816,0.24013439607455922,0.0034709932238765847
1.0,10.0,0.01,24.98174942108324,1.0,1.385886264562884,0.3008325492974135,0.0047600293365103585
1.0,10.0,0.01,24.282150159949403,1.0,1.4164912436449462,0.2770011773018852,0.005671645039265074
1.0,10.0,0.01,26.28365623099244,1.0,1.1699733101957277,0.381249336450678,0.005193855884877053
1.0,10.0,0.01,26.28365623099244,1.0,1.1699733101957277,0.381249336450678,0.005193855884877053
1.0,10.0,0.01,22.13853112227178,1.0,1.2953326638463498,0.2050394832601783,0.004074759642995471
1.0,10.0,0.01,25.354517823946747,1.0,1.5391937464737346,0.20094344467989272,0.004462356829474572
1.0,10.0,0.01,22.660172924646336,1.0,1.3813882301802591,0.23759568976789172,0.0038462443577544324
1.0,10.0,0.01,22.680921544703807,1.0,1.4981741702365052,0.21355861895176986,0.004306064525479751
1.0,10.0,0.01,23.125740437754573,1.0,1.6505839168747545,0.17669274048738026,0.0038451318965581154
1.0,10.0,0.01,16.213160367109996,1.0,1.8015571115415794,0.21879764581371916,0.002783494853113316
1.0,10.0,0.01,18.35052575839147,1.0,1.5767893820066532,0.20427177021632842,0.0024829193021548815
1.0,10.0,0.01,18.35052575839147,1.0,1.5767893820066532,0.20427177021632842,0.0024829193021548815
1.0,10.0,0.01,18.35052575839147,1.0,1.5767893820066532,0.20427177021632842,0.0024829193021548815
1.0,10.0,0.01,15.61039596386588,1.0,1.126721030700339,0.19943940347128766,0.002697458810742535
1.0,10.0,0.01,14.656009205816387,1.0,1.7701729302503855,0.1553786745826686,0.0026513976151200666
1.0,10.0,0.01,22.895567859879556,1.0,1.6388492478826413,0.14492611100810984,0.0029123769227917804
1.0,10.0,0.01,22.895567859879556,1.0,1.6388492478826413,0.14492611100810984,0.0029123769227917804
1.0,10.0,0.01,29.55884525862047,1.0,1.6566921113342916,0.1359732253415505,0.002648451376339841
1.0,10.0,0.01,17.777719793759807,1.0,1.2266724150487276,0.10069870052412652,0.002780056924408558
1.0,10.0,0.01,11.156901546247159,1.0,1.425692042262564,0.11083260138766393,0.0033143755039102356
1.0,10.0,0.01,14.198724559586712,1.0,1.5981127890083737,0.08708250146239463,0.0038402265897495565
1.0,10.0,0.01,14.048572632041314,1.0,1.5357039110873314,0.08551957282031251,0.0035241528533913142
1.0,10.0,0.01,15.766085949815201,1.0,1.5277507546160292,0.10176621785081903,0.0034475095038848567
1.0,10.0,0.01,15.766085949815201,1.0,1.5277507546160292,0.10176621785081903,0.0034475095038848567
